date,side,price,ticker,profile,pnl
2018-03-01,SELL,124.6667,,,-1253.0932670622044
2018-03-29,BUY,122.8333,,,
2018-04-24,SELL,124.8333,,,2348.0048681357316
2018-05-24,BUY,130.5,,,
2018-06-28,SELL,139.5,,,10107.21365880856
2018-07-12,BUY,146.3,,,
2018-07-17,SELL,145.5,,,-856.6606245333418
2018-07-18,BUY,141.9,,,
2018-08-16,SELL,145.0,,,3403.7770850577663
2018-08-23,BUY,148.0,,,
2018-08-27,SELL,146.9,,,-1183.3096012787964
2018-08-30,BUY,149.68,,,
2018-09-05,SELL,147.12,,,-2702.736394583062
2018-09-14,BUY,150.56,,,
2018-09-17,SELL,149.9,,,-680.8787343005333
2018-09-28,BUY,154.06,,,
2018-10-01,SELL,151.16,,,-2910.95553668373
2019-02-13,BUY,136.72,,,
2019-03-05,SELL,138.46,,,1931.0417155871007
2019-03-19,BUY,134.7,,,
2019-03-22,SELL,132.0,,,-3080.0864289246697
2019-04-23,BUY,148.1,,,
2019-05-31,SELL,163.9,,,16064.791697715065
2019-06-12,BUY,169.95,,,
2019-08-05,SELL,191.6,,,21229.203350159405
2020-01-15,BUY,182.75,,,
2020-01-23,SELL,184.0,,,1285.0615474674953
2020-01-30,BUY,192.2,,,
2020-01-31,SELL,181.05,,,-10973.703520434166
2020-08-24,BUY,171.15,,,
2020-09-02,SELL,171.0,,,-156.16770926098852
2020-10-05,BUY,176.75,,,
2020-10-26,SELL,184.1,,,7403.277147936477
2021-02-15,BUY,177.9,,,
2021-03-31,SELL,197.7,,,20638.57459790916
2021-04-06,BUY,201.7,,,
2021-04-20,SELL,197.05,,,-4750.816248937266
2021-04-23,BUY,194.0,,,
2021-05-11,SELL,188.65,,,-5551.927312841195
2021-07-27,BUY,201.5,,,
2021-08-17,SELL,205.7,,,4080.5719420082623
2021-08-20,BUY,210.5,,,
2021-08-23,SELL,210.0,,,-474.7051512674482
2022-07-22,BUY,180.4,,,
2022-08-05,SELL,174.65,,,-6354.838915248822
2022-11-10,BUY,174.2,,,
2022-11-30,SELL,173.55,,,-720.2288231980325
2022-12-13,BUY,180.75,,,
2022-12-15,SELL,180.35,,,-425.56259096848504
2023-01-11,BUY,185.1,,,
2023-01-19,SELL,182.1,,,-3109.8141523972927
2023-03-31,BUY,187.6,,,
2023-05-10,SELL,212.8,,,25356.58912618869
2023-06-05,BUY,211.0,,,
2023-06-09,SELL,207.8,,,-3247.35254106849
2023-06-16,BUY,200.2,,,
2023-07-11,SELL,195.6,,,-4845.2787009187
2023-09-01,BUY,205.4,,,
2023-09-13,SELL,199.4,,,-6018.393678716178
2023-10-10,BUY,205.0,,,
2023-10-12,SELL,210.6,,,5463.722859676119
2023-11-02,BUY,217.0,,,
2023-11-03,SELL,215.6,,,-1325.6452007463095
2023-11-09,BUY,221.0,,,
2023-11-21,SELL,215.8,,,-4803.51437446895
2023-12-14,BUY,223.2,,,
2024-01-05,SELL,223.0,,,-178.62531052011698
2024-01-08,BUY,229.8,,,
2024-01-11,SELL,226.6,,,-2773.433890060126
2024-01-15,BUY,228.0,,,
2024-02-02,SELL,231.6,,,3100.954536945494
2024-02-07,BUY,243.0,,,
2024-02-09,SELL,233.2,,,-8045.466956349415
2024-03-07,BUY,227.0,,,
2024-04-16,SELL,251.8,,,20916.044132281273
2024-04-25,BUY,267.6,,,
2024-05-22,SELL,290.6,,,18252.624582262542
2024-05-31,BUY,294.4,,,
2024-06-03,SELL,291.4,,,-2350.0469799764423
2024-06-11,BUY,301.2,,,
2024-07-11,SELL,306.0,,,3637.7354048612847
2024-07-26,BUY,305.6,,,
2024-08-05,SELL,292.0,,,-10320.407709472289
2024-09-10,BUY,333.6,,,
2024-09-17,SELL,323.0,,,-7040.777512333951
2024-10-01,BUY,329.0,,,
2024-10-18,SELL,337.2,,,5347.308401435923
2025-01-30,BUY,324.0,,,
2025-02-05,SELL,295.4,,,-19410.198147687453
2025-08-21,BUY,272.2,,,
2025-09-02,SELL,263.0,,,-6776.011481429113
